2,1000
6188199.847992,7963004.231681,883593.200000
400933846.074580,-262839564.516382,883593.200000
6737750.255164,8302609.163330,915150.100000
388548643.535391,-290442934.007639,915150.100000
7304873.210573,8630159.012807,946707.000000
374735129.753746,-317066456.457829,946707.000000
7888360.111076,8944904.995889,978263.900000
359591540.991783,-342649270.066427,978263.900000
8487005.107714,9246214.577042,1009820.800000
343215889.649413,-367139961.822399,1009820.800000
9099614.581993,9533564.008661,1041377.700000
325705194.024236,-390495961.087751,1041377.700000
9725015.136970,9806530.498807,1072934.600000
307154828.789558,-412682902.984257,1072934.600000
10362060.196309,10064784.217440,1104491.500000
287657988.617329,-433673978.653607,1104491.500000
11009635.323108,10308080.315715,1136048.400000
267305255.860009,-453449286.579446,1136048.400000
11666662.381083,10536251.099059,1167605.300000
246184262.325741,-471995196.408218,1167605.300000
12332102.665153,10749198.463551,1199162.200000
224379434.821777,-489303734.172203,1199162.200000
13004959.127839,10946886.677330,1230719.100000
201971814.191235,-505371995.556146,1230719.100000
13684277.823483,11129335.564545,1262276.000000
179038937.925596,-520201591.883368,1262276.000000
14369148.685238,11296614.128902,1293832.900000
155654777.010113,-533798131.832008,1293832.900000
15058705.740972,11448834.636892,1325389.800000
131889718.375482,-546170740.515252,1325389.800000
15752126.864402,11586147.167156,1356946.700000
107810585.125164,-557331616.449165,1356946.700000
16448633.147651,11708734.621705,1388503.600000
83480687.535293,-567295626.060249,1388503.600000
17147487.971225,11816808.186546,1420060.500000
58959898.646921,-576079934.721644,1420060.500000
17847995.837740,11910603.223308,1451617.400000
34304749.062311,-583703672.821131,1451617.400000
18549501.026510,11990375.569298,1483174.300000
9568536.300639,-590187635.026487,1483174.300000
19251386.117741,12056398.220750,1514731.200000
-15198555.247099,-595554010.697139,1514731.200000
19953070.427423,12108958.372558,1546288.100000
-39949327.104517,-599826143.271346,1546288.100000
20654008.387198,12148354.787249,1577845.000000
-64639435.024768,-603028316.414320,1577845.000000
21353687.897515,12174895.466131,1609401.900000
-89227255.133105,-605185564.726904,1609401.900000
22051628.677095,12188895.596238,1640958.800000
-113673749.770206,-606323506.871597,1640958.800000
22747380.627231,12190675.747789,1672515.700000
-137942334.541301,-606468199.060738,1672515.700000
23440522.225565,12180560.298220,1704072.600000
-161998747.760827,-605646006.960459,1704072.600000
24130658.960680,12158876.060339,1735629.500000
-185810923.214631,-603883494.185832,1735629.500000
24817421.816070,12125951.093735,1767186.400000
-209348866.936269,-601207325.691307,1767186.400000
25500465.809760,12082113.680189,1798743.300000
-232584538.505667,-597644184.491347,1798743.300000
26179468.593890,12027691.445426,1830300.200000
-255491737.222453,-593220700.275741,1830300.200000
26854129.117040,11963010.611097,1861857.100000
-278045993.378315,-587963388.609717,1861857.100000
27524166.350761,11888395.362338,1893414.000000
-300224464.748729,-581898599.529144,1893414.000000
28189318.080778,11804167.317686,1924970.900000
-322005838.340761,-575052474.454431,1924970.900000
28849339.762491,11710645.089394,1956527.800000
-343370237.367293,-567450910.452746,1956527.800000
29504003.439778,11608143.923422,1988084.700000
-364299133.366126,-559119530.976374,1988084.700000
30153096.725590,11496975.409494,2019641.600000
-384775263.342618,-550083662.295489,2019641.600000
30796421.842509,11377447.252604,2051198.500000
-404782551.784735,-540368314.926395,2051198.500000
31433794.721116,11249863.098322,2082755.400000
-424306037.377926,-529998169.431719,2082755.400000
32065044.153877,11114522.405042,2114312.300000
-443331804.232431,-518997566.037432,2114312.300000
32690011.002133,10971720.357139,2145869.200000
-461846917.426428,-507390497.573413,2145869.200000
33308547.453700,10821747.813619,2177426.100000
-479839362.663552,-495200605.299938,2177426.100000
33920516.328602,10664891.287507,2208983.000000
-497297989.842002,-482451177.232553,2208983.000000
34525790.430448,10501432.951764,2240539.900000
-514212460.333892,-469165148.622583,2240539.900000
35124251.941019,10331650.667989,2272096.800000
-530573197.777099,-455365104.290637,2272096.800000
35715791.855709,10155818.034652,2303653.700000
-546371342.187080,-441073282.546256,2303653.700000
36300309.457513,9974204.451932,2335210.600000
-561598707.202574,-426311580.458695,2335210.600000
36877711.827382,9787075.200648,2366767.500000
-576247740.286402,-411101560.272173,2366767.500000
37447913.388823,9594691.533034,2398324.400000
-590311485.710496,-395464456.784108,2398324.400000
38010835.484758,9397310.773400,2429881.300000
-603783550.162548,-379421185.527114,2429881.300000
38566405.984738,9195186.426971,2461438.200000
-616658070.820120,-362992351.615349,2461438.200000
39114558.920726,8988568.295394,2492995.100000
-628929685.746582,-346198259.133202,2492995.100000
39655234.149752,8777702.597613,2524552.000000
-640593506.471676,-329058920.959766,2524552.000000
40188377.041865,8562832.094952,2556108.900000
-651645092.627799,-311594068.936116,2556108.900000
40713938.191886,8344196.219426,2587665.800000
-662080428.521194,-293823164.294366,2587665.800000
41231873.153579,8122031.204405,2619222.700000
-671895901.525073,-275765408.278013,2619222.700000
41742142.194940,7896570.216874,2650779.600000
-681088282.189223,-257439752.892271,2650779.600000
42244710.073390,7668043.490639,2682336.500000
-689654705.967883,-238864911.731191,2682336.500000
42739545.829766,7436678.459912,2713893.400000
-697592656.474584,-220059370.835390,2713893.400000
43226622.600044,7202699.892774,2745450.300000
-704899950.179235,-201041399.540367,2745450.300000
43705917.443844,6966330.024105,2777007.200000
-711574722.468938,-181829061.280692,2777007.200000
44177411.188828,6727788.687589,2808564.100000
-717615414.999987,-162440224.319977,2808564.100000
44641088.290143,6487293.446496,2840121.000000
-723020764.274063,-142892572.380465,2840121.000000
45096936.704184,6245059.722937,2871677.900000
-727789791.376930,-123203615.149495,2871677.900000
45544947.775950,6001300.925370,2903234.800000
-731921792.822937,-103390698.642923,2903234.800000
45985116.139368,5756228.574128,2934791.700000
-735416332.453305,-83471015.408036,2934791.700000
46417439.629999,5510052.424773,2966348.600000
-738273234.340608,-63461614.550423,2966348.600000
46841919.209585,5262980.589129,2997905.500000
-740492576.656006,-43379411.570959,2997905.500000
47258558.901955,5015219.653807,3029462.400000
-742074686.459711,-23241198.000265,3029462.400000
47667365.739852,4766974.796110,3061019.300000
-743020135.378785,-3063650.819032,3061019.300000
48068349.722271,4518449.897159,3092576.200000
-743329736.139858,17136658.346726,3092576.200000
48461523.781962,4269847.652126,3124133.100000
-743004539.927536,37343254.266017,3124133.100000
48846903.762765,4021369.677436,3155690.000000
-742045834.542290,57539749.389082,3155690.000000
49224508.406498,3773216.614826,3187246.900000
-740455143.334422,77709835.389830,3187246.900000
49594359.349128,3525588.232112,3218803.800000
-738234224.893346,97837274.975031,3218803.800000
49956481.126020,3278683.520546,3250360.700000
-735385073.473829,117905893.971241,3250360.700000
50310901.186051,3032700.788612,3281917.600000
-731909920.143126,137899573.701057,3281917.600000
50657649.914414,2787837.752108,3313474.500000
-727811234.634997,157802243.661039,3313474.500000
50996760.663984,2544291.620354,3345031.400000
-723091727.898534,177597874.514646,3345031.400000
51328269.795091,2302259.178348,3376588.300000
-717754355.331467,197270471.414600,3376588.300000
51652216.723615,2061936.864676,3408145.200000
-711802320.689168,216804067.670404,3408145.200000
51968643.977304,1823520.844959,3439702.100000
-705239080.662008,236182718.778181,3439702.100000
52277597.260231,1587207.080619,3471259.000000
-698068350.114927,255390496.831573,3471259.000000
52579125.525346,1353191.392702,3502815.900000
-690294107.984144,274411485.334228,3502815.900000
52873281.055055,1121669.520481,3534372.800000
-681920603.826778,293229774.436291,3534372.800000
53160119.549789,892837.174543,3565929.700000
-672952365.019838,311829456.619386,3565929.700000
53439700.224522,666890.084035,3597486.600000
-663394204.605490,330194622.856808,3597486.600000
53712085.913214,444024.037696,3629043.500000
-653251229.779768,348309359.277996,3629043.500000
53977343.181122,224434.918305,3660600.400000
-642528851.021878,366157744.368924,3660600.400000
54235542.444966,8318.730103,3692157.300000
-631232791.861053,383723846.742690,3692157.300000
54486758.100892,-204128.381242,3723714.200000
-619369099.277358,400991723.517439,3723714.200000
54731068.660173,-412710.116649,3755271.100000
-606944154.732087,417945419.341725,3755271.100000
54968556.892600,-617230.020133,3786828.000000
-593964685.822241,434568966.110530,3786828.000000
55199309.977459,-817491.484372,3818384.900000
-580437778.552146,450846383.418398,3818384.900000
55423419.661991,-1013297.765970,3849941.800000
-566370890.213424,466761679.799535,3849941.800000
55640982.427206,-1204452.011052,3881498.700000
-551771862.862283,482298854.808159,3881498.700000
55852099.660874,-1390757.291891,3913055.600000
-536648937.380443,497441901.995985,3913055.600000
56056877.837489,-1572016.655326,3944612.500000
-521010768.102813,512174812.847358,3944612.500000
56255428.704956,-1748033.183748,3976169.400000
-504866437.991421,526481581.736188,3976169.400000
56447869.477690,-1918610.069488,4007726.300000
-488225474.330807,540346211.972588,4007726.300000
56634323.035769,-2083550.703500,4039283.200000
-471097864.915297,553752723.010703,4039283.200000
56814918.129708,-2242658.779244,4070840.100000
-453494074.693080,566685158.892865,4070840.100000
56989789.590342,-2395738.412757,4102397.000000
-435425062.825834,579127598.008623,4102397.000000
57159078.543232,-2542594.279899,4133953.900000
-416902300.115750,591064164.250468,4133953.900000
57322932.626900,-2683031.771830,4165510.800000
-397937786.744084,602479039.651087,4165510.800000
57481506.214115,-2816857.169790,4197067.700000
-378544070.256891,613356478.589616,4197067.700000
57634960.635297,-2943877.840288,4228624.600000
-358734263.724159,623680823.656562,4228624.600000
57783464.403036,-3063902.451813,4260181.500000
-338522063.988350,633436523.268731,4260181.500000
57927193.436528,-3176741.214222,4291738.400000
-317921769.907092,642608151.126453,4291738.400000
58066331.284622,-3282206.141925,4323295.300000
-296948300.482665,651180427.605556,4323295.300000
58201069.345999,-3380111.342000,4354852.200000
-275617212.757820,659138243.175735,4354852.200000
58331607.084806,-3470273.328345,4386409.100000
-253944719.343451,666466683.934993,4386409.100000
58458152.239940,-3552511.362925,4417966.000000
-231947705.428700,673151059.346588,4417966.000000
58580921.025919,-3626647.825127,4449522.900000
-209643745.108295,679176932.260091,4449522.900000
58700138.323124,-3692508.610126,4481079.800000
-187051116.845320,684530151.291699,4481079.800000
58816037.854947,-3749923.557117,4512636.700000
