9,1000
4496999934478.649414,852036297.531346,157784.500000
149540939050.005249,4701606849.762803,157784.500000
108087112898.455215,5521305229.101631,157784.500000
227874552179.114380,3802521517.095304,157784.500000
57506217890.438324,7547604809.418046,157784.500000
4209.690523,13.624647,189341.400000
778296727893.608276,2480370021.456230,189341.400000
1425999020405.002197,1817677164.812411,189341.400000
2870999758767.286133,1287521496.101930,189341.400000
4496999901717.974609,1022443555.062693,189341.400000
149511412078.622742,5641631247.461163,189341.400000
108030686962.769516,6624644685.265333,189341.400000
227861828692.655426,4562957875.970133,189341.400000
57309729230.411560,9048920928.361320,189341.400000
5893.368451,23.837604,220898.300000
778295419052.569092,2893763672.549624,220898.300000
1425998628567.075928,2120623198.421738,220898.300000
2870999662274.202637,1502108398.178378,220898.300000
4496999862405.164062,1192850811.359713,220898.300000
149475982633.180939,6581470067.108024,220898.300000
107962990510.669891,7727408388.156851,220898.300000
227846560861.948578,5323351771.384995,220898.300000
57074277882.586174,10545123186.719637,220898.300000
7857.522567,38.130473,252455.200000
778293892072.405762,3307156628.081542,252455.200000
1425998171422.878906,2423569149.474812,252455.200000
2870999549698.940430,1716695293.085405,252455.200000
4496999816540.218750,1363258066.175540,252455.200000
149434652232.357635,7521086218.117729,252455.200000
107884031165.681686,8829481389.921722,252455.200000
227828748870.441254,6083694712.232588,252455.200000
56800037741.947189,12035200808.230772,252455.200000
10102.092320,57.179894,284012.100000
778292146953.583984,3720548772.125813,284012.100000
1425997648972.433838,2726515004.212268,284012.100000
2870999421041.500000,1931282179.628108,284012.100000
4496999764123.138672,1533665319.263310,284012.100000
149387422628.428955,8460442621.690692,284012.100000
107793817721.617233,9930748838.072620,284012.100000
227808392929.763489,6843978208.149282,284012.100000
56487209180.305168,13518148686.360693,284012.100000
12627.009156,81.661142,315569.000000
778290183696.631592,4133939988.756566,315569.000000
1425997061215.765869,3029460748.874743,315569.000000
2870999276301.881836,2145869056.611583,315569.000000
4496999705153.923828,1704072570.376157,315569.000000
149334295807.207336,9399502212.290304,315569.000000
